Restaurant,Cuisine,Price,Fanciness,Address,Neighborhood,Lat,Lng,Phone,Hours,Washingtonian Rank,WaPo Sietsema,Eater 38,Michelin,NYT 25,James Beard,National Lists,Sources
Anju,Korean,$$$,3,"1805 18th St NW, Washington, DC 20009",Dupont Circle,38.914306054354,-77.041588162002,(202) 845-8935,"Brunch, dinner",73,,Yes,,,Semifinalist,,3
Baan Mae,Laotian,$$,2,"1604 7th St NW, Washington, DC 20001",Shaw,38.911326143917,-77.021994842314,,,25,2.0,,,,,Bon Appétit,3
Baan Siam,Thai,$$,2,"425 I St NW, Washington, DC 20001",Mount Vernon Triangle,38.901379508782,-77.017010193478,,,76,,Yes,,Yes,,,3
Bar del Monte,Italian,$$,2,"3054 Mount Pleasant St NW, Washington, DC 20009",Mount Pleasant,38.928274303605,-77.037243175688,,,51,Yes,,,,,Bon Appétit,3
Beteseb,Ethiopian,$,1,"8201 Georgia Ave, Silver Spring, MD 20910",Silver Spring,38.9916498378,-77.026500934534,,,46,Yes,,,,Semifinalist,,3
Chai Pani,Indian,$$,2,"1325 5th St NE, Washington, DC 20002",Union Market,38.909018333782,-76.997733470254,,,29,Yes,,,,Nominee,,3
Cucina Morini,Italian,$$$$,4,"901 4th St NW, Washington, DC 20001",Mount Vernon Triangle,38.901379508748,-77.016101088138,(202) 697-6888,"Dinner, weekend brunch",36,,Yes,,,Semifinalist,,3
L'Ardente,Italian,$$$,3,"200 Massachusetts Ave NW, Washington, DC 20001",Judiciary Square,38.899204979471,-77.013756315861,,,44,Yes,,Bib Gourmand,,,,3
Lapis,Afghan,$$,2,"1847 Columbia Rd NW, Washington, DC 20009",Adams Morgan,38.921237120179,-77.04372908451,,,38,,,Bib Gourmand,Yes,,,3
Lutèce,Contemporary French,$$$,3,"1522 Wisconsin Ave NW, Washington, DC 20007",Georgetown,38.909358654595,-77.06445401667,,,5,Yes,,,,,Resy 100,3
Maketto,"Cambodian, Taiwanese",$$,2,"1351 H St NE, Washington, DC 20002",H Street Corridor,38.900139916506,-76.986707909565,,,82,,,Bib Gourmand,Yes,,,3
Mita,Latin American,$$$$,5,"804 V St NW, Washington, DC 20001",Shaw,38.917707914318,-77.02305542887,,,,,,1 Star,Yes,Semifinalist,,3
My Little Chamomile,Turkish,$$,2,"3210 Grace St NW, Washington, DC 20007",Georgetown,38.90391548495,-77.063358134597,,,14,Yes,,,,Semifinalist,,3
Omakase @ Barracks Row,Japanese,$$$$,5,"522 Eighth St SE, Washington, DC 20003",Capitol Hill,38.882521438507,-76.99490221368,,,4,5.0,,1 Star,,,,3
Perry's Restaurant,Japanese / Sushi,$$,2,"1811 Columbia Rd NW, Washington, DC 20009",Adams Morgan,38.922161337487,-77.043328158474,(202) 234-6218,"Dinner, drag brunch and select breakfasts",68,,Yes,,Yes,,,3
Queen's English,Chinese,$$$,3,"3410 11th St NW, Washington, DC 20010",Columbia Heights,38.931956426795,-77.028371371185,,,63,,,Bib Gourmand,,Nominee,,3
Reveler's Hour,Italian,$$$,3,"1775 Columbia Rd NW, Washington, DC 20009",Adams Morgan,38.923315306327,-77.041826338448,,,58,Yes,,,Yes,,,3
Rooster & Owl,American,$$$,4,"2436 14th St NW, Washington, DC 20009",14th Street Corridor,38.92130879409,-77.031969911865,,,65,Yes,,1 Star,,,,3
St. James,Caribbean,$$$$,4,"2017 14th St NW, Washington, DC 20009",14th Street Corridor,38.917221001425,-77.031878065995,,,19,,,,Yes,,Resy 100,3
Sushi Nakazawa Washington DC,Sushi,$$$$,5,"1100 Pennsylvania Ave NW, Washington, DC 20004",Penn Quarter,38.894699451814,-77.027149749827,,,48,,,1 Star,,,Eater National,3
The Occidental,American steak & seafood,$$$$,4,"1475 Pennsylvania Ave NW, Washington, DC 20004",Downtown DC,38.896446107017,-77.033177301294,(202) 783-1475,Lunch and dinner,66,Yes,Yes,,,,,3
Thip Khao,Laotian,$$,2,"3462 14th St NW, Washington, DC 20010",Columbia Heights,38.933012342274,-77.032804389873,(202) 387-5426,Dinner only,42,,Yes,,Yes,,,3
Unconventional Diner,Modern American diner,$$,2,"1207 9th St NW, Washington, DC 20001",Shaw,38.905820311011,-77.023886080954,(202) 847-0122,"Daily brunch, dinner",,Yes,Yes,Bib Gourmand,,,,3
Ama,Italian (all-day cafe),$$,2,"1335 4th St SE, Washington, DC 20003",Navy Yard,38.874489827919,-77.000643138799,,Morning-to-night service,,,Yes,,,Semifinalist,,2
Aventino Cucina,Italian (Roman),$$,2,"4927 Elm St, Bethesda, MD 20814",Bethesda,38.982182386247,-77.097125999013,(301) 961-6450,"Brunch, lunch, and dinner",60,,Yes,,,,,2
Barbouzard,French,$$$,3,"1700 K St NW, Washington, DC 20006",Downtown DC,38.902461917971,-77.038581828767,,,71,Yes,,,,,,2
Brasero Atlantico,Argentinian,$$$,3,"1066 Wisconsin Ave NW, Washington, DC 20007",Georgetown,38.904516988846,-77.062863822929,,"Lunch, dinner, and brunch",75,,Yes,,,,,2
Cane,Caribbean,$$,2,"403 H St NE, Washington, DC 20002",Shaw,38.900148917017,-77.000480833911,,,19,,,Bib Gourmand,,,,2
Casamara,Mediterranean,$$$,3,"1337 Connecticut Ave NW, Washington, DC 20036",Dupont Circle,38.907958391663,-77.042383173136,,,74,Yes,,,,,,2
Ellē,American / Contemporary,$$$,3,"3221 Mount Pleasant St NW, Washington, DC 20010",Mount Pleasant,38.931485453562,-77.038366690099,,,27,,,Bib Gourmand,,,,2
Elmina,West African / Ghanaian,$$$$,4,"2208 14th St NW, Washington, DC 20009",14th Street / U Street,38.919306441601,-77.032025347154,,Lunch and dinner,6,,Yes,,,,,2
Fiola,Italian,$$$$,5,"601 Pennsylvania Ave NW, Washington, DC 20004",Penn Quarter,38.89283649694,-77.019945131799,,,64,,,1 Star,,,,2
Fish Shop,Seafood,$$$,3,"610 Water St SW, Washington, DC 20024",The Wharf,38.8757437,-77.0211306,(771) 216-3100,Lunch and dinner,77,,Yes,,,,,2
Green Almond Pantry,Mediterranean,$,1,"3210 Grace St NW, Washington, DC 20007",Georgetown,38.90391548495,-77.063358134597,,,59,,,,,Semifinalist,,2
Imperfecto: The Chef's Table,Latin / Mediterranean fusion,$$$$,5,"1124 23rd St NW, Washington, DC 20037",West End,38.904138142105,-77.050187326693,,,,,Yes,1 Star,,,,2
Joon,Persian,$$$$,4,"1735 International Dr, McLean, VA 22102",Tysons,38.924911762135,-77.227829318791,(571) 378-1390,"Weekday lunch, brunch, and dinner",35,,Yes,,,,,2
Jônt,"Contemporary (American, Japanese)",$$$$,5,"1904 14th St NW, Washington, DC 20009",14th Street Corridor,38.915761319934,-77.032028643719,,,2,,,2 Stars,,,,2
Karravaan,Silk Road (Persian/Portuguese/Indian/Turkish),$$$$,4,"325 Morse St NE, Washington, DC 20002",Union Market,38.907970802641,-77.00037907449,,Lunch and dinner,,Yes,Yes,,,,,2
Lucky Danger,Chinese American,$$$,3,"709 D St NW, Washington, DC 20004",Penn Quarter,38.894854510286,-77.022055266541,,Lunch and dinner,21,,Yes,,,,,2
Marcus,American,$$$,3,"222 M St NE, Washington, DC 20002",NoMa,38.90570328656,-77.002822483161,,,32,4.0,,,,,,2
Maydan,Middle Eastern,$$$,3,"1346 Florida Ave NW, Washington, DC 20009",14th Street Corridor,38.92023824281,-77.030728820065,,,17,,,Bib Gourmand,,,,2
Northwest Chinese Food,Chinese,$,1,"7313 Baltimore Ave, College Park, MD 20740",College Park,38.979678458842,-76.937755143073,,,50,Yes,,,,,,2
Nue,Vietnamese,$$,2,"944 W Broad St, Falls Church, VA 22046",Falls Church,38.890504200833,-77.183844272063,,,79,Yes,,,,,,2
Pineapple & Pearls,American,$$$$,5,"715 8th St SE, Washington, DC 20003",Capitol Hill,38.88108038672,-76.995048821437,,,11,,,1 Star,,,,2
Rania,Indian,$$$$,5,"1201 K St NW, Washington, DC 20005",Downtown DC,38.902576508956,-77.028155332006,,,,,,1 Star,,,Eater National,2
Rasika,Indian,$$$$,4,"633 D St NW, Washington, DC 20004",Penn Quarter,38.894854510231,-77.020584628324,(202) 637-1222,,,,,,Yes,,Eater National,2
Rose's Luxury,American,$$$$,5,"717 8th St SE, Washington, DC 20003",Capitol Hill,38.881061453303,-76.995048821438,,,23,,,1 Star,,,,2
Shia,Korean tasting,$$$$,5,"1252 4th St NE, Washington, DC 20002",Union Market,38.90814558818,-76.999878961356,(202) 802-5166,Dinner,37,,Yes,,,,,2
The Duck & the Peach,American,$$$,3,"300 7th St SE, Washington, DC 20003",Capitol Hill,38.885983292565,-76.996107135238,,,54,,,,Yes,,,2
The Red Hen,Italian,$$,2,"1822 1st St NW, Washington, DC 20001",Bloomingdale,38.914879505882,-77.012229848976,,,18,,,Bib Gourmand,,,,2
Tremolo Bar,American,$$,2,"1320 H St NE, Washington, DC 20002",H Street NE,38.900254507913,-76.987607438323,,,55,,,,,Semifinalist,,2
Yellow,Middle Eastern / Levantine,$,1,"1524 Wisconsin Ave NW, Washington, DC 20007","Georgetown, Union Market",38.909383365923,-77.064466784186,,,34,,,Bib Gourmand,,,,2
Your Only Friend,American / Gastropub,$$,2,"1114 9th St NW, Washington, DC 20001",Shaw,38.904426119401,-77.024011231153,,,89,,,Bib Gourmand,,,,2
2 Amys,Pizza,$$,2,"3715 Macomb St NW, Washington, DC 20016",Cathedral Heights,38.933542097913,-77.072693757432,,,20,,,,,,,1
A&J Restaurant,Chinese,$,1,"4316 Markham St, Annandale, VA 22003","Annandale, Rockville",38.830742149602,-77.200028667009,,,52,,,,,,,1
Ada’s on the River,American,$$$,3,"3 Pioneer Mill Way, Alexandria, VA 22314",Old Town Alexandria,38.801614,-77.039639,,,,Yes,,,,,,1
All-Purpose Pizza Shop,Pizza,$$,2,"1250 9th St NW, Washington, DC 20001","Bethesda, Shaw, Navy Yard",38.906612745526,-77.024035351013,,,85,,,,,,,1
Alma Cocina Latina,Venezuelan,$$$,3,"1701 N Charles St, Baltimore, MD 21201",Station North (Baltimore),39.308821742416,-76.616325331577,,,,Yes,,,,,,1
Annabelle,American,$$$,3,"2132 Florida Ave NW, Washington, DC 20008",Dupont,38.912906763,-77.047273430626,,,97,,,,,,,1
Arrels,Spanish,$$$,3,"533 Indiana Ave NW, Washington, DC 20004",Judiciary Square,38.894674633271,-77.019237016414,,,83,,,,,,,1
Artie’s,American,$$,2,"3260 Blenheim Blvd, Fairfax, VA 22030",Fairfax,38.8623758,-77.2773509,,,,Yes,,,,,,1
Astoria DC,Asian,$$,2,"1521 14th St NW, Washington, DC 20005",Northwest DC,38.910467242635,-77.031881825693,,,,,,Bib Gourmand,,,,1
BirdSong,Thai,$$,2,"1337 11th St NW, Washington, DC 20001",Chevy Chase DC,38.907748719192,-77.026964078225,,,84,,,,,,,1
Bostan,Uyghur,$$,2,"3911 Langston Boulevard, Arlington, VA 22207",Arlington,38.8971483,-77.107542,(703) 527-2026,,,,,,Yes,,,1
Brasserie Royale,French,$$,2,"21085 Dulles Town Circle, Sterling, VA 20166",Sterling,38.9535,-77.419,,,91,,,,,,,1
Buck's Fishing & Camping,American,$$,2,"5031 Connecticut Ave NW, Washington, DC 20008",Chevy Chase DC,38.955588563247,-77.070073660777,,,100,,,,,,,1
Bánh Mì Oi,Vietnamese,$,1,"6795 Wilson Blvd, Falls Church, VA 22044",Falls Church,38.872808996915,-77.153627664822,,,,Yes,,,,,,1
Cana,Brazilian,$$,2,"2412 18th St NW, Washington, DC 20009",Adams Morgan,38.920870552605,-77.042193103099,,,26,,,,,,,1
Caruso's Grocery,Italian,$$,2,"529 8th St SE, Washington, DC 20003","Capitol Hill, Bethesda",38.882481153475,-76.995049614225,,,39,,,,,,,1
Ceibo,Argentinian,$$,2,"2106 18th St NW, Washington, DC 20009",Adams Morgan,38.917926350863,-77.041722842715,,Dinner,,,Yes,,,,,1
Centrolina,Italian (seasonal),$$,2,"974 Palmer Alley NW, Washington, DC 20001",Downtown DC,38.9002544,-77.0253858,(202) 898-2426,Lunch and dinner,,,Yes,,,,,1
Chay,Vietnamese,$,1,"6351 Columbia Pike, Falls Church, VA 22041",Falls Church,38.838276634948,-77.15386222931,,,41,,,,,,,1
Chez Billy Sud & Café Colline,French,$$,2,"1039 31st St NW, Washington, DC 20007","Arlington, Georgetown",38.903736703284,-77.061082174323,,,80,,,,,,,1
Chicatana,Mexican,$$$,3,"1400 Meridian Pl NW, Washington, DC 20010",Columbia Heights,38.933425609796,-77.032808326346,,,,Yes,,,,,,1
Chloe,American,$$,2,"1331 4th St SE, Washington, DC 20003",Navy Yard,38.874529967632,-77.000643961332,,,45,,,,,,,1
Cielo Rojo,Modern Mexican,$,1,"7077 Carroll Ave, Takoma Park, MD 20912",Takoma Park,38.975345646087,-77.00962615394,,"Lunch, dinner",,,Yes,,,,,1
Dauphine's,Creole,$$,2,"1100 15th St NW, Washington, DC 20005",Downtown DC,38.903791794055,-77.034648462979,,,,,,Bib Gourmand,,,,1
Del Mar,Spanish,$$$$,4,"791 Wharf St SW, Washington, DC 20024",The Wharf,38.878993377402,-77.024725404341,,,49,,,,,,,1
El Secreto de Rosita,Peruvian,$$$$,4,"2012 14th St NW, Washington, DC 20009",14th Street Corridor,38.917180127618,-77.03202534493,(202) 234-8400,All-day service,,,Yes,,,,,1
El Viejo Central American Kitchen,Central American,$,1,"8605 2nd Ave, Silver Spring, MD 20910",Silver Spring,38.996824168708,-77.03322022231,,,99,,,,,,,1
Elcielo Washington,Colombian,$$$$,5,"1280 4th St NE, Washington, DC 20002",Union Market,38.908712209177,-76.999484554548,,,,,,1 Star,,,,1
Ellie Bird,American,$$,2,"125 Founder's Ave, Falls Church, VA 22046",Falls Church,38.8835,-77.172,,,30,,,,,,,1
Elyse,American,$$,2,"10822 Fairfax Blvd, Fairfax, VA 22030",Fairfax,38.854673191184,-77.317255568818,,,,Yes,,,,,,1
Ethiopic,Ethiopian,$$,2,"401 H St NE, Washington, DC 20002",H Street Corridor,38.8999608,-77.0003951,(202) 675-2066,,,,,,Yes,,,1
Eunoia,"Bulgarian, Mexican",$$,2,"320 Florida Ave NE, Washington, DC 20002",Union Market,38.907727944901,-77.001689708812,,,72,,,,,,,1
Fava Pot,Egyptian,$,1,"1830 Connecticut Ave NW, Washington, DC 20009","DuPont, Falls Church",38.915017787181,-77.046444080903,,,87,,,,,,,1
Gemini,Mediterranean,$$,2,"2060 P St NW, Washington, DC 20036",Dupont Circle,38.909580916821,-77.046214707394,,,7,,,,,,,1
Hitching Post,Southern,$$,2,"200 Upshur St NW, Washington, DC 20011",Petworth,38.942158498529,-77.013756639766,,,,,,Bib Gourmand,,,,1
Inferno Pizzeria Napoletana,Pizza,$,1,"14104 Darnestown Rd, Darnestown, MD 20878",Darnestown,39.103314162574,-77.291977759945,,,33,,,,,,,1
Isla,Caribbean,$$$,3,"1341 4th St SE, Washington, DC 20003",downtown DC,38.874429618348,-77.000641905,,,28,,,,,,,1
Ivy City Smokehouse,Seafood,$$,2,"1356 Okie St NE, Washington, DC 20002",Ivy City,38.914330281487,-76.985879273676,,,,,,Bib Gourmand,,,,1
Izakaya Seki,Japanese,$$,2,"1117 V St NW, Washington, DC 20009",U Street Corridor,38.918166830489,-77.027704883868,,,40,,,,,,,1
J. Hollinger's Waterman's Chophouse,American chophouse & raw bar,$$,2,"8606 Colesville Rd, Silver Spring, MD 20910",Silver Spring,38.996259672283,-77.028119751527,(301) 328-0035,Dinner and AYCE Sunday brunch,,,Yes,,,,,1
"Joe’s Seafood, Prime Steak & Stone Crab",American,$$$$,4,"750 15th St NW, Washington, DC 20005",Downtown DC,38.899508564645,-77.033712827272,,,,Yes,,,,,,1
Kappo,Japanese,$$$$,4,"4822 MacArthur Blvd NW, Washington, DC 20007",Downtown DC,38.916954334561,-77.096229802924,(202) 204-2096,Dinner,,,Yes,,,,,1
Karizma Modern Indian,Indian,$$,2,"611 I St NW, Washington, DC 20001",Downtown DC,38.900926668018,-77.020170355898,,,,,,Bib Gourmand,,,,1
Kayu,Filipino,$$,2,"1718 Connecticut Ave NW, Washington, DC 20009",Dupont Circle,38.914431701838,-77.046344062255,,,53,,,,,,,1
Kema by Kenaki,Japanese,$$,2,"10303 Old Georgetown Rd, Bethesda, MD 20814",Bethesda,39.024223542574,-77.124697075764,,,96,,,,,,,1
Koryouri Urara,Japanese,$$$$,4,"1515 Wisconsin Ave NW, Washington, DC 20007",Georgetown,38.909570260376,-77.06440462738,,,61,,,,,,,1
Kuya Ja's Lechon Belly,Filipino,$,1,"5268-D Nicholson Lane, Rockville, MD 20852",Rockville,39.0564,-77.1188,(240) 669-4383,,,,,,Yes,,,1
Kyojin Sushi,Japanese / Sushi,$$,2,"1512 Wisconsin Ave NW, Washington, DC 20007",Georgetown,38.909234770023,-77.064389046597,(202) 629-2131,Dinner,,,Yes,,,,,1
La Tejana,Mexican,$$,2,"3213 Mt Pleasant St NW, Washington, DC 20010",Mount Pleasant,38.931380531329,-77.038326407538,,,,,,Bib Gourmand,,,,1
La' Shukran,"French, Levantine",$$$,3,"1320 4th St NE, Washington, DC 20002",Union Market,38.90946439858,-76.998958305461,,,9,,,,,,,1
Laos in Town,Laotian,$$,2,"1327 Florida Ave NE, Washington, DC 20002",NoMa,38.901603300789,-76.987651165327,,,,,,Bib Gourmand,,,,1
Le Diplomate,French,$$$,3,"1601 14th St NW, Washington, DC 20009",Logan Circle,38.911189234869,-77.031877723921,,,47,,,,,,,1
Letena,Ethiopian,$,1,"1401 Kenyon St NW, Washington, DC 20010",Columbia Heights,38.93,-77.0285,,,70,,,,,,,1
Little Pearl,Contemporary,$$$$,5,"921 Pennsylvania Ave SE, Washington, DC 20003",Capitol Hill,38.883405041967,-76.993528333604,,,,,,1 Star,,,,1
L’Auberge Chez François and Jacques’ Brasserie,French,$$$$,4,"332 Springvale Rd, Great Falls, VA 22066",Great Falls,39.0292625,-77.3054549,,,86,,,,,,,1
L’Avant-Garde,French,$$$,3,"3414 Connecticut Ave NW, Washington, DC 20008",Cleveland Park,38.934308841743,-77.057859964538,(202) 652-1855,Dinner,,,Yes,,,,,1
Mamma Lena Trattoria Napoletana,Italian,$$,2,"13507 Clopper Rd, Germantown, MD 20874",Germantown,39.16098098223,-77.279433753135,,,,Yes,,,,,,1
Martha Dear,Mediterranean,$$,2,"3110 Mt Pleasant St NW, Washington, DC 20010",Mount Pleasant,38.929017091189,-77.037541077596,,,67,,,,,,,1
Masseria,Italian,$$$$,5,"1340 4th St NE, Washington, DC 20002",Union Market,38.909752706021,-76.998756774596,,,,,,1 Star,,,,1
Melina,Greek,$$,2,"11212 Old Georgetown Rd, North Bethesda, MD 20852",North Bethesda,39.038441151098,-77.123171190812,,,95,,,,,,,1
Menya Hosaki,Japanese,$$,2,"845 Upshur St NW, Washington, DC 20011",Petworth,38.941961316647,-77.024129576437,,,,,,Bib Gourmand,,,,1
Minetta Tavern,American,$$$,3,"1287 4th St NE, Washington, DC 20002",Union Market,38.908738490144,-76.999298740606,,,,Yes,,,,,,1
Minibar,Contemporary,$$$$,5,"855 E St NW, Washington, DC 20004",Penn Quarter,38.896186510071,-77.023504064178,,,,,,2 Stars,,,,1
Motorkat,Seafood / Raw bar,$$,2,"6923 Laurel Ave, Takoma Park, MD 20912",Takoma Park,38.974047262474,-77.012605160106,(240) 223-0629,Dinner and weekend brunch,,,Yes,,,,,1
Namak,"Mediterranean, Persian",$$,2,"1813 Columbia Rd NW, Washington, DC 20009",Adams Morgan,38.922110947771,-77.043353353254,,,98,,,,,,,1
Nasime,Japanese,$$$,3,"1209 King St, Alexandria, VA 22314",Old Town Alexandria,38.805844297165,-77.052593067578,,,12,,,,,,,1
Onggi,Korean,$$,2,"2100 P St NW, Washington, DC 20037",Dupont Circle,38.9095,-77.046,,,,Yes,,,,,,1
Our Mom Eugenia,Greek,$$,2,"4044 Campbell Ave, Arlington, VA 22206",Arlington,38.840780805059,-77.087653335803,,,,Yes,,,,,,1
Oyamel,Mexican,$$,2,"401 7th St NW, Washington, DC 20004",Penn Quarter,38.894856337249,-77.021836518261,,,,,,Bib Gourmand,,,,1
PhoXotic,Vietnamese,$$,2,"103 Rhode Island Ave NW, Washington, DC 20001",Columbia Heights,38.915795482943,-77.012320079879,,,,,,Bib Gourmand,,,,1
Preserve,American,$$,2,"164 Main St, Annapolis, MD 21401",Annapolis,38.977831940659,-76.489809933964,,,69,,,,,,,1
Providencia,Contemporary,$$,2,"1326 H St NE, Washington, DC 20002",H Street Corridor,38.900254507906,-76.987419890404,,,31,,,,,,,1
Pupuseria Mamá Emilia,Salvadoran,$,1,"785 Rockville Pike, Suite H, Rockville, MD 20852",Rockville,39.077614607542,-77.140418939843,(301) 605-7063,,,,,,Yes,,,1
Purple Patch,Filipino,$$,2,"3155 Mount Pleasant St NW, Washington, DC 20010",Mount Pleasant,38.930257750709,-77.037883643704,(202) 299-0022,"Brunch, lunch, and dinner daily",,,Yes,,,,,1
Residents Cafe & Bar,American,$$,2,"1530 P St NW, Washington, DC 20005",Logan Circle,38.909589916407,-77.035187782563,,,,,,Bib Gourmand,,,,1
Ruta Ukrainian Restaurant,Ukrainian,$$$,3,"223 Pennsylvania Ave SE, Washington, DC 20003",Capitol Hill,38.887176742693,-77.0027020301,,"Lunch, dinner, and brunch",,,Yes,,,,,1
Ruthie’s All-Day,American,$$,2,"3411 5th St S, Arlington, VA 22204",Arlington,38.867325519558,-77.094731974635,,,,Yes,,,,,,1
Sababa,Mediterranean,$$,2,"3311 Connecticut Ave NW, Washington, DC 20008",Cleveland Park,38.933796528608,-77.05740285953,,,,,,Bib Gourmand,,,,1
SER Restaurant,Spanish,$$,2,"1110 N Glebe Rd, Arlington, VA 22201",Arlington,38.883826686969,-77.116735662557,(703) 746-9822,Lunch and dinner,,,Yes,,,,,1
Sorn Thai,Thai,$$,2,"6224 E Old Dominion Dr, McLean, VA 22101",McLean,38.919452652601,-77.150378106587,,,,Yes,,,,,,1
Southeast Impression,Southeast Asian,$$,2,"4256 Chain Bridge Rd, Fairfax, VA 22030",Fairfax,38.838988519896,-77.311555047834,,,88,,,,,,,1
Stellina Pizzeria,Pizza,$$,2,"399 Morse St NE, Washington, DC 20002","Union Market, Shaw, Arlington, Tysons",38.907843347274,-77.000088482234,,,,,,Bib Gourmand,,,,1
Sura,Thai,$$,2,"2016 P St NW, Washington, DC 20036",Dupont Circle,38.909580916801,-77.045684069801,,,93,,,,,,,1
Sushi Taro,Japanese / Sushi,$$$$,4,"1503 17th St NW, Washington, DC 20036",Dupont Circle,38.909782161628,-77.038415748351,,,24,,,,,,,1
Taqueria Habanero,Mexican,$$,2,"3710 14th St NW, Washington, DC 20010",Columbia Heights,38.937483509263,-77.032803864675,,,,,,Bib Gourmand,,,,1
Taqueria Sabor Mixteco,Mexican,$,1,"8310 Piney Branch Rd, Silver Spring, MD 20901",Silver Spring,38.994035208637,-77.008911502796,,,90,,,,,,,1
The Inn at Little Washington,American,$$$$,5,"309 Middle St, Washington, VA 22747",Washington VA,38.7135,-78.1595,,,,,,2 Stars,,,,1
The Salt Line,Seafood,$$$,3,"79 Potomac Ave SE, Washington, DC 20003",Navy Yard,38.871482465352,-77.007074105824,,,,Yes,,,,,,1
Tiffin Hut,Indian,$,1,"1201 Sterling Rd, Herndon, VA 20170",Herndon,38.972305402232,-77.400399888052,,,78,,,,,,,1
Toki Underground,Japanese,$$,2,"1234 H St NE, Washington, DC 20002",H Street Corridor,38.900254507985,-76.989547151456,,,,,,Bib Gourmand,,,,1
Tonari,Japanese-Italian (wafu),$$,2,"707 6th St NW, Washington, DC 20001",Chinatown,38.898449515104,-77.019831590282,(202) 289-8900,"Weekend brunch, dinner",,,Yes,,,,,1
Truong Tien,Vietnamese,$,1,"6263 Little River Turnpike, Alexandria, VA 22312",Falls Church,38.817752034178,-77.142174572945,,,94,,,,,,,1
Wye Oak Tavern,American,$$,2,"211 E Church St, Frederick, MD 21701",Baltimore,39.415199146072,-77.407270512576,,,,Yes,,,,,,1
Xiquet,Spanish,$$$$,5,"2404 Wisconsin Ave NW, Washington, DC 20007",Glover Park,38.921597655896,-77.072419544399,,,,,,1 Star,,,,1
Z&Z Manoushe Bakery,Levantine,$,1,"1111 Nelson Street, Rockville, MD 20850",Rockville,39.0918798,-77.1742733,(301) 296-4178,,,,,,Yes,,,1
Zaytinya,Mediterranean,$$,2,"701 9th St NW, Washington, DC 20001",Penn Quarter,38.898509734582,-77.023892197237,,,,,,Bib Gourmand,,,,1
